,Date_reported, Country, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,population in millions,new deaths per million ,target
1567,2020-07-04,Italy,223.0,241184.0,15.0,34833.0,60.36,0.2485089463220676,1.0
1568,2020-07-05,Italy,235.0,241419.0,21.0,34854.0,60.36,0.34791252485089463,1.0
1569,2020-07-06,Italy,192.0,241611.0,7.0,34861.0,60.36,0.11597084161696487,1.0
1570,2020-07-07,Italy,208.0,241819.0,8.0,34869.0,60.36,0.13253810470510272,1.0
1571,2020-07-08,Italy,137.0,241956.0,30.0,34899.0,60.36,0.4970178926441352,1.0
1572,2020-07-09,Italy,193.0,242149.0,15.0,34914.0,60.36,0.2485089463220676,1.0
1573,2020-07-10,Italy,214.0,242363.0,12.0,34926.0,60.36,0.1988071570576541,1.0
1574,2020-07-11,Italy,276.0,242639.0,12.0,34938.0,60.36,0.1988071570576541,1.0
1575,2020-07-12,Italy,188.0,242827.0,7.0,34945.0,60.36,0.11597084161696487,1.0
1576,2020-07-13,Italy,234.0,243061.0,9.0,34954.0,60.36,0.14910536779324055,1.0
